exp1	exp2	exp3	exp4
ENSMUSG00000084128	10.5644674409437	10.1315472803078	10.5213807601647	10.0593460134801
ENSMUSG00000069862	1.8522771340668	1.56779897684916	1.54595298476388	1.76706584471762
ENSMUSG00000081608	0.903217358624446	0	0.97084219459155	1.13868678786224
ENSMUSG00000053765	0	0	1.95603928554084	0
ENSMUSG00000053886	11.9207302217728	8.77513584784102	12.1650971583788	9.57770498353195
ENSMUSG00000056211	10.937199298308	10.8430140177686	10.9634796384594	10.9025814514012
ENSMUSG00000093751	1.45442033693102	1.56779897684916	2.53603353716311	1.13868678786224
ENSMUSG00000044816	4.39337084882303	2.30130722647411	4.33626114906065	3.70244159696176
ENSMUSG00000105077	1.8522771340668	1.98067660692272	1.54595298476388	0
ENSMUSG00000001023	1.8522771340668	0.987146538009096	3.53104811962597	0
ENSMUSG00000086725	6.97089042188994	6.92858394558618	7.25434403760049	7.26330912315705
ENSMUSG00000101308	1.45442033693102	0	0	0
ENSMUSG00000021047	5.55833816742653	5.67511821781997	3.40597116987994	3.9468863047912
ENSMUSG00000061894	7.73698798075443	8.19826634180092	7.80552713270949	8.24152125642135
ENSMUSG00000021704	9.762583769108	9.47006864355703	9.86149782848486	9.72223921882591
ENSMUSG00000028475	1.45442033693102	1.56779897684916	1.54595298476388	2.20333128539084
ENSMUSG00000100078	5.55833816742653	5.29675685157433	5.77502757166834	5.11480607957987
ENSMUSG00000032080	0	0	1.54595298476388	0
ENSMUSG00000103966	6.44547813089185	8.42546308255931	6.69652712957547	7.95751915130157
ENSMUSG00000051729	1.45442033693102	0	2.53603353716311	1.13868678786224
ENSMUSG00000034473	10.2005107653588	10.4458710927643	10.2809793177487	10.5756249996786
ENSMUSG00000055917	10.3231803146151	10.3481498196455	10.2630579897546	10.4744517264564
ENSMUSG00000021286	8.67029654772893	8.9313319949895	8.65203286468432	8.80371042363576
ENSMUSG00000082189	3.51636641504462	2.97743072806845	3.94483656802604	4.7135807730878
ENSMUSG00000076437	10.1527835066976	9.90936919313159	9.92698415602288	9.35222043345344
ENSMUSG00000105328	0.903217358624446	0.987146538009096	0.97084219459155	0
ENSMUSG00000038215	9.52082627881216	9.69872218053723	9.60649288907948	9.66998709324723
ENSMUSG00000074489	0	0	1.95603928554084	0
ENSMUSG00000100658	2.41985186345508	5.43420118503769	3.2690121764721	4.57496719406076
ENSMUSG00000105449	5.1267686294998	5.01936097727091	5.15216067993678	4.9562949838908
ENSMUSG00000024319	10.7804322671102	10.8141828147778	10.7043298813351	10.7141783307259
ENSMUSG00000104724	5.1267686294998	5.80752457608888	5.69708362838102	5.06387989419034
ENSMUSG00000097529	1.45442033693102	0	0.97084219459155	0
ENSMUSG00000027551	10.6567916573689	10.5278241590409	10.5885788315167	10.5550283221465
ENSMUSG00000039781	8.52449456755964	8.69875297736466	8.7677638546884	8.63515831556258
ENSMUSG00000084033	0.903217358624446	0.987146538009096	0	1.13868678786224
ENSMUSG00000102248	2.16379773371026	1.56779897684916	0	1.13868678786224
ENSMUSG00000042178	9.8791558149118	10.0801096816404	9.86744071273114	9.88694733910983
ENSMUSG00000105896	4.39337084882303	5.83260767841627	5.07208309891549	4.77819347695902
ENSMUSG00000082143	0.903217358624446	1.56779897684916	1.95603928554084	1.13868678786224
ENSMUSG00000004849	11.8995264447648	11.6157859006577	11.734703162948	11.4008045957843
ENSMUSG00000099881	9.35434712009909	8.69875297736466	9.39649579638929	9.13504997045679
ENSMUSG00000032118	0.903217358624446	0	0.97084219459155	0
ENSMUSG00000020919	10.1350290724967	10.4407822809266	10.2414831630656	10.2235122051297
ENSMUSG00000052533	11.6149152033429	11.2262622553255	11.4309517839781	11.0505181892627
ENSMUSG00000038045	1.8522771340668	0	2.27498848455507	1.13868678786224
ENSMUSG00000024807	10.6061419517678	10.924746592635	10.644157377182	10.6236696667416
ENSMUSG00000101583	1.45442033693102	2.30130722647411	0.97084219459155	1.13868678786224
ENSMUSG00000030339	12.5422340800816	12.0486595716815	12.6553373804092	12.1473997367426
ENSMUSG00000044835	0.903217358624446	1.56779897684916	0	0
ENSMUSG00000065606	0	0.987146538009096	1.95603928554084	0
ENSMUSG00000082678	0.903217358624446	1.98067660692272	0.97084219459155	1.13868678786224
ENSMUSG00000039166	8.83055063730714	8.44998414710507	9.12853813374505	9.14120440094566
ENSMUSG00000020307	11.3338476295808	11.2647828191553	11.0971923425244	10.8723779963184
ENSMUSG00000024902	11.3807430092476	11.3045443652822	11.3489038973946	11.2229087408954
ENSMUSG00000065100	1.8522771340668	1.98067660692272	0	1.13868678786224
ENSMUSG00000023030	12.0483334769254	11.638632841245	11.869246561477	11.6188086189261
ENSMUSG00000063049	9.22185055268293	8.59995233338847	9.06272439245083	8.92994208922739
ENSMUSG00000050908	0.903217358624446	0.987146538009096	0	0
ENSMUSG00000021281	12.1767231843006	9.31406774051337	11.4724846906765	10.1041422759395
ENSMUSG00000040586	9.77553380547524	9.72575181486532	9.76610795569583	9.80209529651103
ENSMUSG00000086555	0.903217358624446	0	0	1.76706584471762
ENSMUSG00000096780	6.89907375704164	7.22227644734015	7.27237326329399	7.12109405982392
ENSMUSG00000110032	0.903217358624446	2.30130722647411	1.54595298476388	2.20333128539084
ENSMUSG00000105982	0.903217358624446	1.98067660692272	0	1.13868678786224
ENSMUSG00000083397	1.45442033693102	0.987146538009096	1.95603928554084	2.20333128539084
ENSMUSG00000001911	11.1631411045147	11.4077723907739	11.2084792411344	11.501116733593
ENSMUSG00000042426	10.9550172593255	10.8220320227431	10.9104994282421	10.735691124215
ENSMUSG00000019814	11.4234218706662	11.146616327507	11.3188583079805	10.9997704273851
ENSMUSG00000063714	6.6960966858213	6.58915321639271	7.00762081561906	7.01784563762615
ENSMUSG00000031026	1.8522771340668	3.97580504597315	0	3.56269987988568
ENSMUSG00000051113	4.26864960439655	5.18433491160384	4.46725714111834	5.30223730158428
ENSMUSG00000042707	0.903217358624446	0.987146538009096	0	0
ENSMUSG00000006764	0.903217358624446	0.987146538009096	0	1.13868678786224
ENSMUSG00000014907	9.61349242380187	8.85381609685047	9.47449379997934	9.16556289196421
ENSMUSG00000037370	9.62307688986996	10.1909452828778	9.78035235184703	10.4829572614231
ENSMUSG00000086714	3.98129980223267	3.14699462510038	4.58734256711624	3.70244159696176
ENSMUSG00000090544	3.72063417465946	2.78524979445569	3.7527269300247	2.80921390161836
ENSMUSG00000012889	3.51636641504462	7.3230655216297	2.53603353716311	6.75436184290586
ENSMUSG00000102606	0.903217358624446	0	0.97084219459155	1.13868678786224
ENSMUSG00000027006	14.3323242027234	13.3791883971792	14.571864315987	13.5590815292175
ENSMUSG00000014504	10.2662105829822	10.3350444276264	10.2426267599323	10.1986459117938
ENSMUSG00000004446	11.7269350609392	11.093778860716	11.7712184557367	11.5035074473166
ENSMUSG00000031592	12.3757555726442	12.6368499237896	12.3997565300562	12.681692329859
ENSMUSG00000034379	7.7603378764217	7.51347641461815	8.00739647741447	7.58561618886836
ENSMUSG00000033557	13.241916734809	12.8447383833507	13.3108222440559	13.0917181193982
ENSMUSG00000082896	1.8522771340668	1.98067660692272	2.7570033105543	2.5378478169171
ENSMUSG00000034066	9.3075623379544	9.68501505512286	9.0549336257657	9.28987748916547
ENSMUSG00000027186	0	2.56347600003389	0	3.03752820034539
