GeneName,sampleA,sampleB,sampleC,sampleD,sampleE,sampleF,sampleG,sampleH
Kifc3,8.5928218263,8.1144299117,7.5644064857,8.7491436321,8.4636799466,7.3207772056,8.3008403586,6.9198786217
AK052016,6.4497274386,6.3136335725,6.2689996108,6.4547623089,6.4304142894,6.3136012015,6.3327778096,6.4990671046
Gm2109,6.0769197847,6.2599516915,6.2674046693,6.0600619235,6.1868411925,6.0651324575,6.1683007394,6.1889488565
Map2k2,7.8509193483,7.6245019326,7.8396530397,7.6379138986,7.6548455241,7.7313883412,7.7837077825,7.6736127487
Gm10755,6.4667466434,6.3612928943,6.3449612601,6.2384144624,6.195856141,6.3447510121,6.4641194541,6.3510541102
chr1:193875525-193978800_F,6.5587088,6.3804807931,6.3488733186,6.4580849822,6.3090740113,6.2834647045,6.4337966331,6.4734051388
Kcnj11,6.2679756003,6.4495101153,6.3002055507,6.1402208166,6.3217132837,6.2357028336,6.4219231885,6.551423908
Tbc1d8b,8.3866187598,8.0509613641,8.2892816974,8.5602690289,8.674174864,8.5141697052,8.6053072866,8.3749107008
Pcca,6.9178342869,6.6805476114,7.4661286866,6.8233276249,7.0173153195,7.5167492214,7.1878886616,7.3061205592
AK048679,7.5722863598,7.0017407714,6.9803067795,7.2571456624,7.3054617534,7.0159194661,7.2868599098,7.539549094
Sirpb1b,6.0929519793,6.0565976639,5.9474560885,5.8996059748,6.0951593671,6.2127634641,6.0036774663,6.0245739424
Klhdc10,9.9664298295,9.7621963932,9.6806965029,9.2450784256,8.8888850795,9.6253471241,9.8131815521,9.3386227831
Gm2379,6.0027909996,6.1039824271,5.9818075841,6.1502229723,6.2026194383,6.0915748733,6.1013990301,6.2322650022
Gm7173,6.1994201601,6.3495602512,6.1004046028,6.1455963768,6.0525582628,6.1496476118,6.2452050393,6.293342184
Akna,8.8749574378,8.7223502656,8.795196787,8.6706702251,8.8295875386,8.9371519927,9.0414626385,9.557631378
Cd55,6.7636280242,6.4209592708,7.0490024633,7.0351994158,6.4796599156,6.970626654,6.9578048503,7.4448722994
Racgap1,8.6876303078,8.061221363,9.0872960168,8.198130767,8.6972397327,9.1351528015,9.0654704975,9.2857067256
Pde4c,7.617372919,7.5494571916,7.2965185198,7.6213751338,7.3156146716,7.2586598528,7.3329747348,7.7338211572
Kazn,6.2393442339,6.3250693119,6.345086664,6.1631289138,6.4288148533,6.4256937249,6.2570193414,6.3110146337
Fam21,9.5624983006,9.2243017228,9.5142027999,9.4965399705,9.8107108072,9.455977618,9.4618214238,9.6448636585
Srp72,12.6856407425,12.509910602,12.3655162411,12.2480008538,11.9137014732,12.2148375059,12.4708519097,11.9437241788
Tox4,11.8990454658,11.8283691114,11.2609743958,11.9264179136,11.4930473422,11.20867533,11.4410038931,11.6624376783
Usp44,7.893787238,8.2105163319,8.8349761226,7.6933821473,8.7630465873,9.1702971654,7.3055466611,7.2916654236
Ptbp3,7.7870850323,7.6498316144,7.5063779975,7.9097647286,7.9001863288,7.5822115854,7.9855423349,8.1066479648
4933428C19Rik,6.0822379541,6.0347667027,5.9620145633,5.9860594732,6.0105558226,5.9857670819,6.0708282463,5.9938215768
Atp6v1a,6.1754246838,6.1084163533,6.0729268458,6.0416641458,6.1769854903,6.1364499876,6.0856411966,6.1353909856
Exoc7,10.9980910551,10.8538755593,10.3930968965,10.6399548267,10.4924775686,10.3389642174,10.6558597451,10.9262633365
LOC102635133,6.3985613973,6.9435287959,6.3181635699,6.2095815624,6.3173236698,6.1827729634,6.2311428961,6.3024951721
Ap5m1,10.0758323505,9.9438581367,9.839754612,10.0336149545,9.8687888514,9.8304258275,10.0081399127,9.9900760876
Ganab,10.1321263144,9.8226721041,10.6848346995,10.1530381675,10.2617397954,10.6372367754,10.4445639543,10.567975707
Gcsh,11.2979331791,11.426116027,13.1066237093,11.6163848677,11.4824280225,12.9269655381,12.9448339723,13.0617730334
Cnrip1,6.7631480608,6.4361641244,6.2755122255,6.6703833373,6.5603608415,6.64608458,6.741786503,6.7213416483
BB649767,6.2435299287,5.9659544609,6.1771988231,6.0655171331,6.0459046226,6.0067674928,6.1036857146,6.0873475114
chr10:21688115-21710890_F,6.10776007,6.3091182671,6.0259268995,6.177913582,5.9469638516,5.9643775375,6.0399647776,6.0838361434
4930430F08Rik,7.3718618485,7.0514191472,7.2294463504,7.2739740689,7.0591169586,7.3805127849,7.6665200932,6.9915013195
Trmt2a,7.4604721177,7.7168967308,8.1202600263,7.4723979943,7.5370101705,8.0583637601,7.7500957024,7.645663686
Rpusd4,12.5847122933,12.775051021,12.1595558116,12.1663464033,12.0453832758,12.1008296648,12.2112297338,12.1182199426
Samhd1,12.1437773923,12.2594984933,11.5650680474,11.4637855638,11.0645161146,11.6245132761,11.8460294959,12.3018199492
Mbd4,6.8896267925,6.5663280896,6.8678047797,6.888724873,6.6875182159,7.0717751766,6.9658924429,7.2621426478
chr10:74325583-74396665_R,8.801927579,8.2697920985,9.8322964912,8.4639309572,8.529703195,9.6829099314,9.7685698237,9.7230349749
Rundc3a,7.4460787964,7.3341922354,7.5282370521,7.9129873763,8.1067991342,8.1579851813,7.5597656587,8.1229230865
Gnas,15.9376684641,15.8365106258,15.5881419223,15.6982957041,15.6705381773,15.6716046236,15.6825775484,15.6840656357
LOC102641328,6.6015043574,6.4587913885,6.5872138889,6.5391454336,6.4486900918,6.3412804173,6.5506303175,6.5470087764
Capn6,5.992131132,5.932163462,6.0343306056,6.1960280286,5.9447198242,5.9509369617,6.1819203685,6.0985618835
Gm11627,6.0853704379,6.0298452685,5.9649948549,6.0155043079,6.0870197764,5.9929467584,5.9521160892,5.9866856255
Cul9,10.9626137078,10.6033996992,10.4473992898,10.9706118092,11.1199735564,10.5700231297,11.2386189904,11.3105173353
chr17:22335458-22466521_R,9.2997991841,9.2739865368,9.2349291433,9.8985007753,9.828325515,9.4241930374,9.5569871691,9.4155011716
chr4:145539725-145596000_R,6.9906278029,6.9654045726,7.0557895447,6.8898235202,7.1051340886,6.9256630352,6.8751763756,7.0157036006
Apobec3,10.0392273522,12.0220721855,10.3785845216,11.39989887,11.6159408591,10.3858839952,9.7041974922,10.9563074085
Flna,14.8467849706,14.2205019958,15.2322311153,14.9600050295,14.9386406037,15.1956256435,15.1285504392,15.5774567883
Arhgef40,6.1958502088,6.1747199936,6.2163853704,6.0651803638,6.2105857026,6.1658401003,6.1865982277,6.2562303131
Dlgap1,6.2925768285,6.2335021778,6.3011774393,6.2871987141,6.2588562301,6.1605592336,6.3343842757,6.3830481967
Plcd4,8.0916349592,9.6008778801,7.9426312655,7.8123066727,7.145557606,7.8702887074,6.7996685813,6.4912463692
Btnl6,6.0567360411,5.982605199,6.1766403388,5.797180109,6.0993521556,6.0874599429,5.9625708616,6.0676685911
Oprk1,6.1188177923,6.1944748789,6.1845796264,6.0090202621,6.1596572405,6.1316578791,6.1010295342,6.2179807048
Cox6a1,17.3824523526,17.1681842002,17.9311130382,17.1027578024,17.5932517544,18.0105459949,17.8596279246,18.074918572
Ncdn,11.7559346436,12.1092864541,12.6338504159,11.9650802025,12.1193471766,12.5296886975,12.1881666161,12.1393782006
Mdn1,7.1013965112,7.7678319181,7.9713601918,7.6263845991,7.6290038752,7.7085824038,7.5314980833,7.5454236516
Tecpr1,13.0372524553,12.8776585203,11.8779716384,12.6601331559,12.7525196274,11.8737311123,12.1832019498,13.5980661952
Rpl13,17.3803285299,17.4470162455,17.3216700432,17.4176135278,17.3423948208,17.2961853088,17.33419684,17.3952964152
chr1:74084292-74138492_F,8.252120649,8.3392600318,8.3627247142,8.2892816974,8.2663677906,8.1974899513,8.2629000882,8.4689911118
Spp1,9.682644376,12.6770086711,13.5803199928,10.7260303576,13.4553213965,13.7257131933,11.2092694911,10.0392273522
Snrpe,15.7892021049,15.6970092506,15.8415439049,15.6373531094,15.8093432647,16.1544177531,15.7704342633,15.9915062101
Herc1,6.3069367308,6.4110921607,6.4044457576,6.326058098,6.4011961074,6.4091059218,6.3737588747,6.2951779008
Mest,6.4370702966,6.5261227951,7.307399325,6.3302670169,6.5019294263,6.6474134658,6.4364626202,6.2988068869
Pias3,6.5425554679,6.5125669998,6.4242805775,6.6003197017,6.6369838431,6.5531049179,6.3852467875,6.4772067617
Tcof1,13.572178632,13.1138132472,14.1539353097,13.8606461003,13.0839001007,13.8273305254,13.7838258685,13.864596902
Usp26,6.2560385556,6.3015794325,6.0966482044,6.167665145,6.20461821,6.09401625,6.2522211474,6.2476722862
Mplkip,7.2789177832,8.1526350686,7.7899969842,7.5331976276,7.6573052176,7.6460176371,7.4253998246,7.4651898999
C530043K16Rik,6.0591602838,6.2859667219,6.238657951,6.1781886891,6.9948541333,6.1031908344,6.2693889897,6.2100444731
Tmco5b,6.1932882712,6.2730364943,6.723912679,6.0892825329,6.0755342387,6.1447784469,6.0827095207,6.1435460094
